"Sample_1","Sample_2","Site_1","Site_2","Pair","Metric","Distance"
"250607_03","220707_14","Lost","Campana","Lost vs Campana","CLR-Aitchison",16.9299443094615
"250607_04","220707_14","Lost","Campana","Lost vs Campana","CLR-Aitchison",15.8219470026593
"250607_05","220707_14","Lost","Campana","Lost vs Campana","CLR-Aitchison",16.1546047016137
"250607_07","220707_14","Lost","Campana","Lost vs Campana","CLR-Aitchison",19.2921061096746
"250607_08","220707_14","Lost","Campana","Lost vs Campana","CLR-Aitchison",17.5538170333974
"250607_09","220707_14","Lost","Campana","Lost vs Campana","CLR-Aitchison",14.8763051834206
"250607_10","220707_14","Lost","Campana","Lost vs Campana","CLR-Aitchison",19.3477795108506
"250607_01","220707_15","Lost","Campana","Lost vs Campana","CLR-Aitchison",16.1154924080117
"250607_02","220707_15","Lost","Campana","Lost vs Campana","CLR-Aitchison",15.9759537779094
"250607_03","220707_15","Lost","Campana","Lost vs Campana","CLR-Aitchison",15.291962256303
"250607_04","220707_15","Lost","Campana","Lost vs Campana","CLR-Aitchison",12.7126497568011
"250607_05","220707_15","Lost","Campana","Lost vs Campana","CLR-Aitchison",14.4061602431962
"250607_07","220707_15","Lost","Campana","Lost vs Campana","CLR-Aitchison",18.6958363290936
"250607_08","220707_15","Lost","Campana","Lost vs Campana","CLR-Aitchison",16.6665573900706
"250607_09","220707_15","Lost","Campana","Lost vs Campana","CLR-Aitchison",15.1680246175671
"250607_10","220707_15","Lost","Campana","Lost vs Campana","CLR-Aitchison",16.765288385918
"250607_01","220707_16","Lost","Campana","Lost vs Campana","CLR-Aitchison",14.711808659368
"250607_02","220707_16","Lost","Campana","Lost vs Campana","CLR-Aitchison",14.7379752917352
"250607_03","220707_16","Lost","Campana","Lost vs Campana","CLR-Aitchison",14.2016618160511
"250607_04","220707_16","Lost","Campana","Lost vs Campana","CLR-Aitchison",12.6658754455793
"250607_05","220707_16","Lost","Campana","Lost vs Campana","CLR-Aitchison",12.2512064990727
"250607_07","220707_16","Lost","Campana","Lost vs Campana","CLR-Aitchison",16.3830592374394
"250607_08","220707_16","Lost","Campana","Lost vs Campana","CLR-Aitchison",14.8777976108008
"250607_09","220707_16","Lost","Campana","Lost vs Campana","CLR-Aitchison",12.5505490511801
"250607_10","220707_16","Lost","Campana","Lost vs Campana","CLR-Aitchison",16.4872055269965
"250607_01","220707_17","Lost","Campana","Lost vs Campana","CLR-Aitchison",14.3586591048559
"250607_02","220707_17","Lost","Campana","Lost vs Campana","CLR-Aitchison",15.7108759393623
"250607_03","220707_17","Lost","Campana","Lost vs Campana","CLR-Aitchison",14.7026957127455
"250607_04","220707_17","Lost","Campana","Lost vs Campana","CLR-Aitchison",14.5196229257642
"250607_05","220707_17","Lost","Campana","Lost vs Campana","CLR-Aitchison",12.7314418095728
"250607_07","220707_17","Lost","Campana","Lost vs Campana","CLR-Aitchison",17.7314765064182
"250607_08","220707_17","Lost","Campana","Lost vs Campana","CLR-Aitchison",14.2294358465103
"250607_09","220707_17","Lost","Campana","Lost vs Campana","CLR-Aitchison",14.6656402012414
"250607_10","220707_17","Lost","Campana","Lost vs Campana","CLR-Aitchison",15.0536566644287
"250607_01","220707_18","Lost","Campana","Lost vs Campana","CLR-Aitchison",16.3093866437348
"250607_02","220707_18","Lost","Campana","Lost vs Campana","CLR-Aitchison",14.902216640183
"250607_03","220707_18","Lost","Campana","Lost vs Campana","CLR-Aitchison",13.7370729985882
"250607_04","220707_18","Lost","Campana","Lost vs Campana","CLR-Aitchison",13.252852892499
"250607_05","220707_18","Lost","Campana","Lost vs Campana","CLR-Aitchison",14.5784651682736
"250607_07","220707_18","Lost","Campana","Lost vs Campana","CLR-Aitchison",18.8573742711513
"250607_08","220707_18","Lost","Campana","Lost vs Campana","CLR-Aitchison",13.4075996379065
"250607_09","220707_18","Lost","Campana","Lost vs Campana","CLR-Aitchison",13.3322136291131
"250607_10","220707_18","Lost","Campana","Lost vs Campana","CLR-Aitchison",18.077516907916
"250607_01","220707_19","Lost","Campana","Lost vs Campana","CLR-Aitchison",15.727706172054
"250607_02","220707_19","Lost","Campana","Lost vs Campana","CLR-Aitchison",16.8726511256444
"250607_03","220707_19","Lost","Campana","Lost vs Campana","CLR-Aitchison",14.2421920313808
"250607_04","220707_19","Lost","Campana","Lost vs Campana","CLR-Aitchison",12.85379565797
"250607_05","220707_19","Lost","Campana","Lost vs Campana","CLR-Aitchison",13.8858285665729
"250607_07","220707_19","Lost","Campana","Lost vs Campana","CLR-Aitchison",17.8252989676319
"250607_08","220707_19","Lost","Campana","Lost vs Campana","CLR-Aitchison",15.7308938820883
"250607_09","220707_19","Lost","Campana","Lost vs Campana","CLR-Aitchison",14.9282692961063
"250607_10","220707_19","Lost","Campana","Lost vs Campana","CLR-Aitchison",15.8598289054141
"250607_01","220707_20","Lost","Campana","Lost vs Campana","CLR-Aitchison",15.093412807801
"250607_02","220707_20","Lost","Campana","Lost vs Campana","CLR-Aitchison",16.5528844935728
"250607_03","220707_20","Lost","Campana","Lost vs Campana","CLR-Aitchison",12.7124625175747
"250607_04","220707_20","Lost","Campana","Lost vs Campana","CLR-Aitchison",13.0428380746367
"250607_05","220707_20","Lost","Campana","Lost vs Campana","CLR-Aitchison",13.3824526409211
"250607_07","220707_20","Lost","Campana","Lost vs Campana","CLR-Aitchison",17.6151674257858
"250607_08","220707_20","Lost","Campana","Lost vs Campana","CLR-Aitchison",14.7890710893341
"250607_09","220707_20","Lost","Campana","Lost vs Campana","CLR-Aitchison",13.3550288280007
"250607_10","220707_20","Lost","Campana","Lost vs Campana","CLR-Aitchison",15.8258367379795
"250607_01","220708_01","Lost","Soberanía","Lost vs Soberanía","CLR-Aitchison",13.6616808963655
"250607_02","220708_01","Lost","Soberanía","Lost vs Soberanía","CLR-Aitchison",14.7285753395972
"250607_03","220708_01","Lost","Soberanía","Lost vs Soberanía","CLR-Aitchison",13.6240583648439
"250607_04","220708_01","Lost","Soberanía","Lost vs Soberanía","CLR-Aitchison",11.467879298953
"250607_05","220708_01","Lost","Soberanía","Lost vs Soberanía","CLR-Aitchison",13.0107187851068
"250607_07","220708_01","Lost","Soberanía","Lost vs Soberanía","CLR-Aitchison",18.0334820266637
"250607_08","220708_01","Lost","Soberanía","Lost vs Soberanía","CLR-Aitchison",14.7142289935573
"250607_09","220708_01","Lost","Soberanía","Lost vs Soberanía","CLR-Aitchison",14.2548073829154
"250607_10","220708_01","Lost","Soberanía","Lost vs Soberanía","CLR-Aitchison",15.3257793195891
"250607_01","220708_02","Lost","Soberanía","Lost vs Soberanía","CLR-Aitchison",13.4739502963627
"250607_02","220708_02","Lost","Soberanía","Lost vs Soberanía","CLR-Aitchison",14.5945174119912
"250607_03","220708_02","Lost","Soberanía","Lost vs Soberanía","CLR-Aitchison",14.9535713258892
"250607_04","220708_02","Lost","Soberanía","Lost vs Soberanía","CLR-Aitchison",10.2525622854874
"250607_05","220708_02","Lost","Soberanía","Lost vs Soberanía","CLR-Aitchison",10.964161656359
"250607_07","220708_02","Lost","Soberanía","Lost vs Soberanía","CLR-Aitchison",15.3511602424369
"250607_08","220708_02","Lost","Soberanía","Lost vs Soberanía","CLR-Aitchison",13.9269242995603
"250607_09","220708_02","Lost","Soberanía","Lost vs Soberanía","CLR-Aitchison",11.833859824069
"250607_10","220708_02","Lost","Soberanía","Lost vs Soberanía","CLR-Aitchison",17.8530919726667
"250607_01","220708_03","Lost","Soberanía","Lost vs Soberanía","CLR-Aitchison",16.9790134847607
"250607_02","220708_03","Lost","Soberanía","Lost vs Soberanía","CLR-Aitchison",16.1387608497373
"250607_03","220708_03","Lost","Soberanía","Lost vs Soberanía","CLR-Aitchison",15.9445018368687
"250607_04","220708_03","Lost","Soberanía","Lost vs Soberanía","CLR-Aitchison",11.5977838841564
"250607_05","220708_03","Lost","Soberanía","Lost vs Soberanía","CLR-Aitchison",13.4427162211516
"250607_07","220708_03","Lost","Soberanía","Lost vs Soberanía","CLR-Aitchison",16.706620748115
"250607_08","220708_03","Lost","Soberanía","Lost vs Soberanía","CLR-Aitchison",16.0399482462417
"250607_09","220708_03","Lost","Soberanía","Lost vs Soberanía","CLR-Aitchison",13.2289185597972
"250607_10","220708_03","Lost","Soberanía","Lost vs Soberanía","CLR-Aitchison",18.8613756638315
"250607_01","220708_04","Lost","Soberanía","Lost vs Soberanía","CLR-Aitchison",12.0465438463321
"250607_02","220708_04","Lost","Soberanía","Lost vs Soberanía","CLR-Aitchison",13.8527321709382
"250607_03","220708_04","Lost","Soberanía","Lost vs Soberanía","CLR-Aitchison",13.7774723747664
"250607_04","220708_04","Lost","Soberanía","Lost vs Soberanía","CLR-Aitchison",12.0205034051902
"250607_05","220708_04","Lost","Soberanía","Lost vs Soberanía","CLR-Aitchison",11.3680089143687
"250607_07","220708_04","Lost","Soberanía","Lost vs Soberanía","CLR-Aitchison",15.5511293569208
"250607_08","220708_04","Lost","Soberanía","Lost vs Soberanía","CLR-Aitchison",13.4884963933755
"250607_09","220708_04","Lost","Soberanía","Lost vs Soberanía","CLR-Aitchison",10.2686590239436
"250607_10","220708_04","Lost","Soberanía","Lost vs Soberanía","CLR-Aitchison",16.7609396674764
"250607_01","220708_05","Lost","Soberanía","Lost vs Soberanía","CLR-Aitchison",15.8052970725032
"250607_02","220708_05","Lost","Soberanía","Lost vs Soberanía","CLR-Aitchison",14.7104185466277
"250607_03","220708_05","Lost","Soberanía","Lost vs Soberanía","CLR-Aitchison",13.165042490382
