"Sample_1","Sample_2","Site_1","Site_2","Bray_Curtis","Pair"
"220607_01","220707_17","Veragua","Altos de Campana",0.57003950715865,"Veragua vs Altos de Campana"
"220607_02","220707_17","Veragua","Altos de Campana",0.700316321322635,"Veragua vs Altos de Campana"
"220607_03","220707_17","Veragua","Altos de Campana",0.477747289217245,"Veragua vs Altos de Campana"
"220607_04","220707_17","Veragua","Altos de Campana",0.63393252454337,"Veragua vs Altos de Campana"
"220609_01","220707_17","Veragua","Altos de Campana",0.848735572294884,"Veragua vs Altos de Campana"
"220609_02","220707_17","Veragua","Altos de Campana",0.58742078443803,"Veragua vs Altos de Campana"
"220609_03","220707_17","Veragua","Altos de Campana",0.636343350814535,"Veragua vs Altos de Campana"
"220609_04","220707_17","Veragua","Altos de Campana",0.54974555438237,"Veragua vs Altos de Campana"
"220609_07","220707_17","Veragua","Altos de Campana",0.670476944288458,"Veragua vs Altos de Campana"
"220707_11","220707_17","Altos de Campana","Altos de Campana",0.518586972163047,"Altos de Campana vs Altos de Campana"
"220707_12","220707_17","Altos de Campana","Altos de Campana",0.474802355455132,"Altos de Campana vs Altos de Campana"
"220707_13","220707_17","Altos de Campana","Altos de Campana",0.444489127487001,"Altos de Campana vs Altos de Campana"
"220707_14","220707_17","Altos de Campana","Altos de Campana",0.457683500148728,"Altos de Campana vs Altos de Campana"
"220707_15","220707_17","Altos de Campana","Altos de Campana",0.621196517147312,"Altos de Campana vs Altos de Campana"
"220707_16","220707_17","Altos de Campana","Altos de Campana",0.443480287061104,"Altos de Campana vs Altos de Campana"
"220604_01","220707_18","Veragua","Altos de Campana",0.605381496737966,"Veragua vs Altos de Campana"
"220604_02","220707_18","Veragua","Altos de Campana",0.722508565325574,"Veragua vs Altos de Campana"
"220604_03","220707_18","Veragua","Altos de Campana",0.769949144038307,"Veragua vs Altos de Campana"
"220604_04","220707_18","Veragua","Altos de Campana",0.631998545663809,"Veragua vs Altos de Campana"
"220604_05","220707_18","Veragua","Altos de Campana",0.630445769147302,"Veragua vs Altos de Campana"
