"Sample_1","Sample_2","Site_1","Site_2","Pair","Metric","Distance"
"250607_05","220707_14","Lost","Campana","Lost vs Campana","CLR-Aitchison",42.146626553692
"250607_07","220707_14","Lost","Campana","Lost vs Campana","CLR-Aitchison",49.8507048621081
"250607_08","220707_14","Lost","Campana","Lost vs Campana","CLR-Aitchison",43.8669583180965
"250607_09","220707_14","Lost","Campana","Lost vs Campana","CLR-Aitchison",42.3793649147094
"250607_10","220707_14","Lost","Campana","Lost vs Campana","CLR-Aitchison",42.4852947513453
"250607_01","220707_15","Lost","Campana","Lost vs Campana","CLR-Aitchison",45.5480502373648
"250607_02","220707_15","Lost","Campana","Lost vs Campana","CLR-Aitchison",41.3617584082422
"250607_03","220707_15","Lost","Campana","Lost vs Campana","CLR-Aitchison",44.1648292168371
"250607_04","220707_15","Lost","Campana","Lost vs Campana","CLR-Aitchison",36.283812999467
"250607_05","220707_15","Lost","Campana","Lost vs Campana","CLR-Aitchison",41.8184027253827
"250607_07","220707_15","Lost","Campana","Lost vs Campana","CLR-Aitchison",52.626776919254
"250607_08","220707_15","Lost","Campana","Lost vs Campana","CLR-Aitchison",45.6664929234791
"250607_09","220707_15","Lost","Campana","Lost vs Campana","CLR-Aitchison",43.8978131244236
"250607_10","220707_15","Lost","Campana","Lost vs Campana","CLR-Aitchison",41.4403755167461
"250607_01","220707_16","Lost","Campana","Lost vs Campana","CLR-Aitchison",48.8581056338296
"250607_02","220707_16","Lost","Campana","Lost vs Campana","CLR-Aitchison",45.5740923281446
"250607_03","220707_16","Lost","Campana","Lost vs Campana","CLR-Aitchison",40.9834133592168
"250607_04","220707_16","Lost","Campana","Lost vs Campana","CLR-Aitchison",40.4845866135623
"250607_05","220707_16","Lost","Campana","Lost vs Campana","CLR-Aitchison",45.5515418770801
"250607_07","220707_16","Lost","Campana","Lost vs Campana","CLR-Aitchison",55.3306740420924
"250607_08","220707_16","Lost","Campana","Lost vs Campana","CLR-Aitchison",45.9980838384912
"250607_09","220707_16","Lost","Campana","Lost vs Campana","CLR-Aitchison",45.9720959231868
"250607_10","220707_16","Lost","Campana","Lost vs Campana","CLR-Aitchison",45.1008610505582
"250607_01","220707_17","Lost","Campana","Lost vs Campana","CLR-Aitchison",47.508150151915
"250607_02","220707_17","Lost","Campana","Lost vs Campana","CLR-Aitchison",43.6761047215754
"250607_03","220707_17","Lost","Campana","Lost vs Campana","CLR-Aitchison",40.5258349681451
"250607_04","220707_17","Lost","Campana","Lost vs Campana","CLR-Aitchison",40.0311029913912
"250607_05","220707_17","Lost","Campana","Lost vs Campana","CLR-Aitchison",45.6606855362207
"250607_07","220707_17","Lost","Campana","Lost vs Campana","CLR-Aitchison",50.7049482886304
"250607_08","220707_17","Lost","Campana","Lost vs Campana","CLR-Aitchison",45.5780742076813
"250607_09","220707_17","Lost","Campana","Lost vs Campana","CLR-Aitchison",45.3390041101896
"250607_10","220707_17","Lost","Campana","Lost vs Campana","CLR-Aitchison",44.0956024704903
"250607_01","220707_18","Lost","Campana","Lost vs Campana","CLR-Aitchison",52.0206204512396
"250607_02","220707_18","Lost","Campana","Lost vs Campana","CLR-Aitchison",46.2661810369221
"250607_03","220707_18","Lost","Campana","Lost vs Campana","CLR-Aitchison",44.0475192261777
"250607_04","220707_18","Lost","Campana","Lost vs Campana","CLR-Aitchison",44.367730721484
"250607_05","220707_18","Lost","Campana","Lost vs Campana","CLR-Aitchison",49.3020256698916
"250607_07","220707_18","Lost","Campana","Lost vs Campana","CLR-Aitchison",58.0335424284829
"250607_08","220707_18","Lost","Campana","Lost vs Campana","CLR-Aitchison",48.3007464036353
"250607_09","220707_18","Lost","Campana","Lost vs Campana","CLR-Aitchison",49.0493202660997
"250607_10","220707_18","Lost","Campana","Lost vs Campana","CLR-Aitchison",49.2705920528663
"250607_01","220707_19","Lost","Campana","Lost vs Campana","CLR-Aitchison",50.0642331709234
"250607_02","220707_19","Lost","Campana","Lost vs Campana","CLR-Aitchison",46.6080517609113
"250607_03","220707_19","Lost","Campana","Lost vs Campana","CLR-Aitchison",47.8744374001438
"250607_04","220707_19","Lost","Campana","Lost vs Campana","CLR-Aitchison",40.1882260464739
"250607_05","220707_19","Lost","Campana","Lost vs Campana","CLR-Aitchison",44.0074006267925
"250607_07","220707_19","Lost","Campana","Lost vs Campana","CLR-Aitchison",54.1044710847392
"250607_08","220707_19","Lost","Campana","Lost vs Campana","CLR-Aitchison",49.0431100572609
"250607_09","220707_19","Lost","Campana","Lost vs Campana","CLR-Aitchison",45.8540920451952
"250607_10","220707_19","Lost","Campana","Lost vs Campana","CLR-Aitchison",46.4646480721727
"250607_01","220707_20","Lost","Campana","Lost vs Campana","CLR-Aitchison",50.3148470434489
"250607_02","220707_20","Lost","Campana","Lost vs Campana","CLR-Aitchison",47.2964619526773
"250607_03","220707_20","Lost","Campana","Lost vs Campana","CLR-Aitchison",43.2747028139223
"250607_04","220707_20","Lost","Campana","Lost vs Campana","CLR-Aitchison",41.2811540435519
"250607_05","220707_20","Lost","Campana","Lost vs Campana","CLR-Aitchison",47.871120121601
"250607_07","220707_20","Lost","Campana","Lost vs Campana","CLR-Aitchison",52.7679342539243
