"Sample_1","Sample_2","Site_1","Site_2","Bray_Curtis","Pair"
"220604_05","220707_11","Veragua","Altos de Campana",0.490393912001599,"Veragua vs Altos de Campana"
"220604_06","220707_11","Veragua","Altos de Campana",0.448535102213965,"Veragua vs Altos de Campana"
"220604_07","220707_11","Veragua","Altos de Campana",0.620660216277746,"Veragua vs Altos de Campana"
"220606_02","220707_11","Veragua","Altos de Campana",0.516944762591804,"Veragua vs Altos de Campana"
"220606_04","220707_11","Veragua","Altos de Campana",0.742126349701412,"Veragua vs Altos de Campana"
"220607_01","220707_11","Veragua","Altos de Campana",0.63164598558464,"Veragua vs Altos de Campana"
"220607_02","220707_11","Veragua","Altos de Campana",0.475073595955603,"Veragua vs Altos de Campana"
"220607_03","220707_11","Veragua","Altos de Campana",0.410189711317479,"Veragua vs Altos de Campana"
"220607_04","220707_11","Veragua","Altos de Campana",0.589627638783409,"Veragua vs Altos de Campana"
"220609_01","220707_11","Veragua","Altos de Campana",0.59826288554824,"Veragua vs Altos de Campana"
"220609_02","220707_11","Veragua","Altos de Campana",0.388039466995703,"Veragua vs Altos de Campana"
"220609_03","220707_11","Veragua","Altos de Campana",0.414597560029313,"Veragua vs Altos de Campana"
"220609_04","220707_11","Veragua","Altos de Campana",0.383188931190473,"Veragua vs Altos de Campana"
"220609_07","220707_11","Veragua","Altos de Campana",0.585561429053402,"Veragua vs Altos de Campana"
"220604_01","220707_12","Veragua","Altos de Campana",0.836480072473216,"Veragua vs Altos de Campana"
"220604_02","220707_12","Veragua","Altos de Campana",0.837656271262446,"Veragua vs Altos de Campana"
"220604_03","220707_12","Veragua","Altos de Campana",0.706589293525439,"Veragua vs Altos de Campana"
"220604_04","220707_12","Veragua","Altos de Campana",0.857914114689447,"Veragua vs Altos de Campana"
"220604_05","220707_12","Veragua","Altos de Campana",0.632205223418924,"Veragua vs Altos de Campana"
"220604_06","220707_12","Veragua","Altos de Campana",0.688424763793478,"Veragua vs Altos de Campana"
"220604_07","220707_12","Veragua","Altos de Campana",0.734851606119458,"Veragua vs Altos de Campana"
"220606_02","220707_12","Veragua","Altos de Campana",0.700559181923458,"Veragua vs Altos de Campana"
"220606_04","220707_12","Veragua","Altos de Campana",0.8991884011058,"Veragua vs Altos de Campana"
"220607_01","220707_12","Veragua","Altos de Campana",0.780422761804004,"Veragua vs Altos de Campana"
"220607_02","220707_12","Veragua","Altos de Campana",0.724033980693597,"Veragua vs Altos de Campana"
"220607_03","220707_12","Veragua","Altos de Campana",0.593050146056475,"Veragua vs Altos de Campana"
"220607_04","220707_12","Veragua","Altos de Campana",0.771243546676043,"Veragua vs Altos de Campana"
