"Test","Permutation","LRT","Coefficient_per_10_years"
"Anti-Bd robust Aitchison dispersion log-linear trend",1,0.735739123653055,-0.20623788139245
"Anti-Bd robust Aitchison dispersion log-linear trend",2,0.820028251675194,-0.213491565357868
"Anti-Bd robust Aitchison dispersion log-linear trend",3,0.0280842117264596,0.0446010482034138
"Anti-Bd robust Aitchison dispersion log-linear trend",4,0.0321264893856459,0.0440587114187688
"Anti-Bd robust Aitchison dispersion log-linear trend",5,0.514219035706149,-0.188929240760228
"Anti-Bd robust Aitchison dispersion log-linear trend",6,0.34167566053918,-0.145477328872789
"Anti-Bd robust Aitchison dispersion log-linear trend",7,0.756149354153533,0.207260517193603
"Anti-Bd robust Aitchison dispersion log-linear trend",8,0.589365548189318,0.174642351697723
"Anti-Bd robust Aitchison dispersion log-linear trend",9,0.79991756478179,0.209983909909895
"Anti-Bd robust Aitchison dispersion log-linear trend",10,0.646205792311572,0.182022521115404
"Anti-Bd robust Aitchison dispersion log-linear trend",11,0.0125608223553035,0.0274258278157594
"Anti-Bd robust Aitchison dispersion log-linear trend",12,0.0136519144278957,0.0289042466476854
"Anti-Bd robust Aitchison dispersion log-linear trend",13,0.00816564635436845,0.0239027721012652
"Anti-Bd robust Aitchison dispersion log-linear trend",14,0.0116246071319437,0.0263526209514634
"Anti-Bd robust Aitchison dispersion log-linear trend",15,0.75779072340932,-0.205120574774414
"Anti-Bd robust Aitchison dispersion log-linear trend",16,0.85134054894147,-0.215330365969894
"Anti-Bd robust Aitchison dispersion log-linear trend",17,0.36409219535956,-0.147072905179842
"Anti-Bd robust Aitchison dispersion log-linear trend",18,0.545189190249848,-0.192349370504953
"Anti-Bd robust Aitchison dispersion log-linear trend",19,0.429478850348403,0.172282372001887
"Anti-Bd robust Aitchison dispersion log-linear trend",20,0.540535699170364,0.188604151586116
"Anti-Bd robust Aitchison dispersion log-linear trend",21,0.154313503982991,-0.100001693298561
"Anti-Bd robust Aitchison dispersion log-linear trend",22,0.154912833505383,-0.101330607477628
"Anti-Bd robust Aitchison dispersion log-linear trend",23,0.583848426149419,0.192873906391658
"Anti-Bd robust Aitchison dispersion log-linear trend",24,0.486833836438797,0.182449606862017
