"taxon","lfc_(Intercept)","lfc_SiteVeragua","lfc_SiteAltos de Campana","lfc_SiteSoberanía","se_(Intercept)","se_SiteVeragua","se_SiteAltos de Campana","se_SiteSoberanía","W_(Intercept)","W_SiteVeragua","W_SiteAltos de Campana","W_SiteSoberanía","p_(Intercept)","p_SiteVeragua","p_SiteAltos de Campana","p_SiteSoberanía","q_(Intercept)","q_SiteVeragua","q_SiteAltos de Campana","q_SiteSoberanía","diff_(Intercept)","diff_SiteVeragua","diff_SiteAltos de Campana","diff_SiteSoberanía","passed_ss_(Intercept)","passed_ss_SiteVeragua","passed_ss_SiteAltos de Campana","passed_ss_SiteSoberanía","diff_robust_(Intercept)","diff_robust_SiteVeragua","diff_robust_SiteAltos de Campana","diff_robust_SiteSoberanía"
"Haliangium",0.444101720954821,-1.20719671724053,0.125333922840996,-1.30492247497534,0.395015382456773,0.550509952006808,0.636527844987899,0.683167094452728,1.1242643721689,-2.19286992513008,0.196902498182744,-1.91010733036065,0.26901262975137,0.0354721043038387,0.84511155028047,0.0648425006329973,0.434309546827512,0.125085841492484,0.944969183031224,0.234835002292477,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"Micrococcus",0.0247612508531431,0.244972949853793,-2.15176890059544,-0.583466816313864,0.474557105150529,0.679507001484943,0.660478411092389,0.68351404414148,0.0521776000915398,0.360515711123575,-3.25789437543698,-0.853628131440548,0.95877131161022,0.721266717658324,0.00302580882595475,0.400821180604267,0.98700098267312,0.833187415225995,0.0168940992782474,0.641843014210081,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
"Unclassified_Caulobacteraceae",-1.82372548063558,1.25137859432852,1.41344308867361,2.74885041604022,0.360040841419882,0.544567518483854,0.614164901937257,0.660936153073759,-5.06532945941189,2.29793102205676,2.3014064858073,4.15902565362233,1.52163899832813e-05,0.0280408941600681,0.0278209848952066,0.000213764566017205,0.000264722186349128,0.110514112277916,0.0831897743673242,0.00716111296157636,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
"Nocardioides",-1.44441262700151,1.66406898223599,1.59173108836902,1.65885950977003,0.453199515704645,0.62576563161367,0.591380906336929,0.748990822747562,-3.18714512471555,2.65925275880817,2.69154967857917,2.21479283776102,0.0027875494383068,0.0112091132653266,0.0103323840615832,0.032533785725956,0.0126625629950772,0.0715248179787508,0.0407217489485924,0.140163840272621,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"Clostridium sensu stricto 10",-0.499774321933198,0.933762703939868,-1.40049919570186,0.0711812243969488,0.409394848819282,0.581901844018617,0.606619536291747,0.644859045551033,-1.22076358159995,1.60467390426416,-2.30869451429653,0.110382609793624,0.232356458525306,0.119787125400743,0.0285576837380367,0.912893337858232,0.39504190256129,0.264802884061593,0.0831897743673242,0.998357904870729,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"Terriglobus",-0.818164810198451,0.895923084270374,-0.152965125070111,1.20105702650475,0.39010322733972,0.584397781085478,0.678068087561229,0.676583713167437,-2.09730336192773,1.53307064685677,-0.225589624222358,1.77517874452221,0.0444977527033151,0.135737647107293,0.82305039694567,0.0860160222087138,0.112503752117816,0.281864313445871,0.944969183031224,0.288153674399191,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"Conexibacter",-2.25686638076633,1.81195864131791,2.50785729662539,2.79506459895614,0.399689334773226,0.605095188270788,0.59155427120595,0.644065351823709,-5.64655141985919,2.99450181796362,4.23943739179304,4.3397220344826,3.02709220699018e-06,0.00526810386734517,0.000177924497924391,0.000133667187767198,0.000101407588934171,0.0504348668907583,0.00397364712031139,0.00716111296157636,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"Loriellopsis LF-B5",0.0957128732010868,-1.1841552245932,0.112697053001327,-0.394031372223711,0.446561668970444,0.60031786195268,0.753362648650455,0.793580576532805,0.214332935072002,-1.97254704489625,0.149592036721237,-0.496523458204149,0.832098071204784,0.0601744834949386,0.882336494117853,0.62404249831849,0.921497037532571,0.161267615766436,0.944969183031224,0.819820537006644,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"Streptomyces",-1.17722140723631,1.36807283117737,0.289059547655981,1.24802490173847,0.462156643261818,0.638378886376852,0.701321743226872,0.787443101657157,-2.54723463224004,2.14304210300866,0.412163961045868,1.58490803857705,0.0187561423948122,0.0439791696319277,0.684396273254606,0.127931629423138,0.0571209791114734,0.143736798309227,0.841367895560709,0.372670398754359,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"Parafilimonas",-0.329667585391138,0.541094883339651,0.468592206638034,-0.572170448960001,0.507213998453915,0.65259578566236,0.781047971024094,0.774423341986325,-0.64995758475915,0.829142472611066,0.599953170640243,-0.73883419822088,0.521892858052845,0.415194508082029,0.554160394265032,0.467172390463323,0.692412306723576,0.581869922971229,0.757607897797707,0.673130110990164,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
