"kw.ep","kw.eBH","glm.ep","glm.eBH","taxon"
0.17113512197069,0.2771879569186,0.159920647711641,0.262116905063156,"alphaI cluster"
0.297970536967225,0.421928389063622,0.285434660582447,0.404812821228525,"Ohtaekwangia"
0.502531878249492,0.627201851745099,0.488503374246265,0.607218252075912,"Unclassified_Fimbriimonadaceae"
0.02347688320922,0.0693202479937343,0.01477503516946,0.0437689696451796,"Unclassified_Neisseriaceae"
0.00485018234935924,0.0228323481240771,0.00340037630119657,0.0167444033573595,"P3OB-42"
0.0377850411653474,0.0957605731728927,0.0479775285042853,0.105980671011653,"Williamsia"
0.519954709643649,0.63128744733879,0.496917148985204,0.613992534080325,"Pseudochrobactrum"
0.548805800417415,0.654535247644179,0.520014729938798,0.634019762210756,"Caulobacter"
0.0305388194510747,0.080578115754898,0.0260626468960313,0.0672545417503128,"Thermobrachium"
0.37809937548109,0.510059517799439,0.420727059071726,0.546655513008374,"Patulibacter"
0.0333088800505708,0.0957110833851815,0.0628903076572297,0.142191519111436,"RB41"
0.0103277068347993,0.0368367760117242,0.0205929939441911,0.0507089683170864,"Azospirillum"
0.605003469982182,0.702902777470317,0.554833366762188,0.662955411006263,"Acidisphaera"
0.0195215848271926,0.0665435218966109,0.0395755416983383,0.111313787428274,"Chthoniobacter"
0.101121316950067,0.187240902747424,0.11770954265538,0.20068909105499,"Unclassified_Staphylococcaceae"
0.560426084105001,0.666468783714657,0.563015955684215,0.669112330121317,"Amaricoccus"
0.0122220358138788,0.0463038596784417,0.0151835659648329,0.0532554663672402,"Unclassified_Sandaracinaceae"
0.0246695902229839,0.0778865632992573,0.0552315491117016,0.128610276974882,"Edaphobaculum"
0.567753572018259,0.676835352841977,0.682594417025771,0.767011823472773,"Unclassified_Roseiflexaceae"
0.427091188077177,0.555710616474161,0.451316528172134,0.573391701398164,"CL500-29 marine group"
0.142742650825068,0.270327457741,0.175054605334646,0.302366266871417,"Mesorhizobium"
0.00778716247016027,0.0314788187201094,0.0271434872918747,0.0647136845449975,"Acidipila-Silvibacterium"
0.107920422099538,0.199013537341671,0.11990470510255,0.207098696472743,"Methylocystis"
0.145605002212771,0.253874895359138,0.135201420115474,0.232771808508187,"Unclassified_Ktedonobacteraceae"
0.636581975914383,0.726837128945373,0.62124958775529,0.719168888506937,"Unclassified_AKIW781"
0.0274858512413156,0.0817801253562295,0.0797066879335393,0.160068351367416,"Oligoflexus"
0.0418339886643244,0.108035994353661,0.0749693575228296,0.149436645899682,"Deinococcus"
0.51372755661277,0.623831186072519,0.461067947045275,0.582040076322705,"Shinella"
0.531900381505244,0.645378606445422,0.489089905250655,0.602951891929854,"Abditibacterium"
0.279113803811986,0.420778465651784,0.356440969339447,0.490256378016013,"Roseomonas"
0.197730048040122,0.311570964467262,0.185520673109478,0.298435991297844,"Pseudolabrys"
0.21808213365151,0.3545064805875,0.247671711613969,0.381458694544687,"Pseudoxanthomonas"
0.194082300327854,0.320919482265146,0.176361399620615,0.299811877223977,"Unclassified_Chroococcidiopsaceae"
0.417177840407671,0.533446678409321,0.399799623431051,0.515475380995106,"Unclassified_Rhizobiales Incertae Sedis"
0.126526770325008,0.23840436187057,0.15966936124922,0.269517421440187,"Dyadobacter"
0.142278540727113,0.257222732354476,0.109664466703974,0.205291933609879,"Unclassified_Nostocaceae"
0.662289726163908,0.745642889368311,0.6413530483383,0.733304842598695,"Unclassified_Sphingobacteriaceae"
0.000178493487506122,0.00280017337258606,0.000148028598096405,0.00127319777731554,"Rhodanobacter"
0.085245885488014,0.169982281707779,0.0882306719911381,0.17038405591977,"Variibacter"
0.704732575927368,0.78109579170935,0.632685211510925,0.730034876796621,"Unclassified_Microscillaceae"
0.360349100158314,0.496126707405591,0.370102406370715,0.501842106618546,"Rhodopila"
0.592033812559347,0.696651342755136,0.564645900459597,0.67328258231963,"Microvirga"
0.0549176329480385,0.130951781161043,0.0855769159894568,0.172345885927605,"Unclassified_Solirubrobacteraceae"
0.100555391614618,0.205053371338845,0.138285765583022,0.255521752551924,"Acidisoma"
0.467404333015722,0.583659713078599,0.455004710305697,0.572422289548306,"Roseiarcus"
0.153685767360755,0.264498688484633,0.151115176943152,0.259559152243351,"Alicyclobacillus"
0.352248013188958,0.487665764642938,0.284878173186178,0.413436397857923,"Unclassified_Rhodobacteraceae"
0.290278773757773,0.433101557381122,0.248716674653061,0.385570036575596,"Gordonia"
