"Genus","220604_01","220604_02","220604_03","220604_04","220604_05","220604_06","220604_07","220606_02","220606_04","220607_01","220607_02","220607_03","220607_04","220609_01","220609_02","220609_03","220609_04","220609_07","220707_11","220707_12","220707_13","220707_14","220707_15","220707_16","220707_17","220707_18","220707_19","220707_20","220708_01","220708_02","220708_03","220708_04","220708_05","220708_06","220708_07","220708_08","220708_09","220708_10","250607_01","250607_02","250607_03","250607_04","250607_05","250607_07","250607_08","250607_09","250607_10"
"Rubrobacter",47,97,10,0,193,209,572,60,0,0,16,38,0,0,5233,127,74,0,0,0,0,7,0,0,0,0,0,0,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0
"Haemophilus",0,0,0,0,0,0,0,12,0,0,0,0,14,0,0,0,0,0,0,0,0,0,438,16,750,335,498,0,0,0,19,88,12,9,0,6,0,0,0,0,0,0,0,81,0,0,0
"Brevibacterium",31,0,0,57,0,81,615,0,10,0,0,67,0,0,49,258,0,113,0,0,0,0,0,0,5,0,0,0,128,4,0,0,546,12,58,335,18,0,68,40,115,24,63,175,236,7,92
"Psychroglaciecola",6,0,0,244,0,120,1298,360,35,116,0,252,177,0,1372,66,182,3234,632,153,197,189,41,172,263,730,65,258,233,30,38,58,0,36,212,228,206,50,22,15,342,0,0,129,77,0,0
"Unclassified_Kineosporiaceae",0,0,0,0,0,63,141,0,0,0,0,18,0,0,103,43,0,1247,153,18,74,23,0,0,56,165,44,128,0,0,0,0,0,0,74,126,130,0,0,9,17,0,0,27,0,9,0
"Candidatus Udaeobacter",0,0,0,0,0,18,140,0,0,0,92,415,14,0,27,0,9,0,22,100,254,89,59,443,290,323,43,483,6,12,6,47,0,0,16,4,0,0,0,41,23,0,5,0,26,0,3
"Candidatus Megaira",0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,0,25,0,23,0,0,12,0,0,334,200,1231,6,0,125,0,20,0,0,0,0,0,276,0,0,0,0
"Actinomyces",0,0,0,25,0,0,0,76,0,13,0,0,0,0,190,0,0,30,11,0,0,0,67,0,54,181,256,0,0,39,6,24,1370,5,0,0,0,0,0,6,0,0,0,0,16,0,0
"Blastocatella",0,0,16,40,0,31,2958,74,0,37,0,300,163,0,907,22,56,10,26,117,64,64,0,246,158,483,0,401,171,11,32,0,0,0,20,202,215,50,25,39,186,0,6,168,140,61,0
"Niabella",0,0,41,0,0,25,0,0,0,0,0,5,26,0,0,0,0,0,55,0,0,6,0,0,11,0,3,0,0,29,0,30,0,0,10,6,0,3063,0,0,0,0,0,0,0,0,0
"Neorhizobium",0,0,226,0,57,0,15,0,0,0,0,86,18,0,0,143,29,964,29,0,0,0,67,0,41,0,0,0,0,0,0,0,0,12,0,0,27,143,0,24,0,0,0,21,0,21,0
"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium",0,38,1555,32,180,38,294,45,0,15,0,82,34,37,77,393,164,403,174,328,74,27,33,116,162,72,358,78,130,47,127,50,0,36,312,150,686,1097,163,158,8,9,33,263,13,0,124
"Tianweitania",0,0,0,0,0,0,0,0,0,26,0,69,0,0,61,0,0,1480,62,13,18,52,17,0,12,34,31,39,174,0,20,0,0,12,78,77,389,66,0,0,25,0,0,0,0,0,0
"Hephaestia",0,0,0,0,199,242,349,0,0,40,0,122,0,0,0,0,19,57,221,156,0,0,10,90,69,210,0,0,146,0,0,42,0,16,160,48,262,0,0,0,0,0,0,211,0,0,0
"Kineococcus",25,0,4,0,0,0,0,44,0,0,0,11,0,0,35,136,24,2044,40,0,229,0,24,0,0,0,0,12,0,0,0,0,7,5,14,0,9,8,0,0,0,0,0,0,0,0,0
"Qipengyuania",8,0,6,0,0,0,120,77,0,0,0,0,0,0,0,0,243,27,0,34,0,13,0,7,0,0,4,69,256,22,0,45,0,0,46,26,137,0,0,0,0,0,0,661,0,0,0
"IheB3-7",10,69,9,127,93,176,154,71,5,0,50,13,68,246,45,58,3,67,0,0,0,11,3,0,0,21,0,0,33,15,0,36,0,24,0,0,0,0,0,61,7,0,12,94,0,37,0
"Gemella",0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,518,42,88,62,867,0,0,0,14,0,47,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"Unclassified_Sphingomonadaceae",6,0,212,149,108,200,2895,476,0,151,0,519,489,0,327,898,689,408,25,417,288,85,0,165,393,691,79,226,840,126,189,131,15,185,370,674,609,83,39,97,159,0,6,602,49,40,10
"Mucilaginibacter",0,0,23,38,213,151,138,49,0,16,25,214,39,0,41,715,324,0,60,200,52,72,38,409,396,1494,68,54,746,41,285,111,0,62,277,551,538,64,215,355,86,0,0,41,210,48,0
"Unclassified_Microbacteriaceae",7,0,0,172,48,281,738,83,0,65,18,146,0,0,163,348,50,1380,252,25,75,60,0,78,60,231,92,0,167,53,14,171,0,0,120,234,204,21,0,0,32,10,0,75,20,0,10
