"Genus_full","Sample_ID","Row_scaled_rCLR","Genus"
"Chryseobacterium","250607_02",1.62789138774363,"Chryseobacterium"
"Pseudomonas","250607_02",1.83204406495587,"Pseudomonas"
"Unclassified_Bacteria","250607_05",-1.17038982919322,"Uncl. Bacteria"
"Methylobacterium-Methylorubrum","250607_05",-1.37125816573337,"Methylobacterium-Methylorubrum"
"Actinomycetospora","250607_05",-1.42243672009939,"Actinomycetospora"
"1174-901-12","250607_05",-1.42452399278238,"1174-901-12"
"Marmoricola","250607_05",-1.45315027837135,"Marmoricola"
"Unclassified_Caulobacteraceae","250607_05",-1.40349277849889,"Uncl. Caulobacteraceae"
"Mycobacterium","250607_05",-1.30906756938453,"Mycobacterium"
"Unclassified_Acetobacteraceae","250607_05",-1.50722442372936,"Uncl. Acetobacteraceae"
"Jatrophihabitans","250607_05",-1.47184485316401,"Jatrophihabitans"
"Methylocella","250607_05",-1.47323238273582,"Methylocella"
"Conexibacter","250607_05",-1.43214528755425,"Conexibacter"
"Actinoplanes","250607_05",-1.37847318277497,"Actinoplanes"
"Pseudonocardia","250607_05",-1.50110683111312,"Pseudonocardia"
"Unclassified_67-14","250607_05",-1.5171028503507,"Uncl. 67-14"
"Corynebacterium","250607_05",-0.482699001935556,"Corynebacterium"
"Caldalkalibacillus","250607_05",0.267338521378309,"Caldalkalibacillus"
"Nesterenkonia","250607_05",0.360682222848956,"Nesterenkonia"
"Unclassified_Bacillaceae","250607_05",0.313757081271499,"Uncl. Bacillaceae"
"Unclassified_Caloramatoraceae","250607_05",0.457305853223345,"Uncl. Caloramatoraceae"
"Anoxybacillus","250607_05",0.428886680566633,"Anoxybacillus"
"Clostridium sensu stricto 12","250607_05",0.449144238251658,"Clostridium sensu stricto 12"
"Halomonas","250607_05",0.507306357616747,"Halomonas"
"Staphylococcus","250607_05",0.502634046784591,"Staphylococcus"
"Mycoplasma","250607_05",1.18711272922408,"Mycoplasma"
"Tumebacillus","250607_05",0.498890059417933,"Tumebacillus"
"Bacillus","250607_05",0.280356871167582,"Bacillus"
"Paracoccus","250607_05",1.39984164961875,"Paracoccus"
"Acinetobacter","250607_05",1.21020844935287,"Acinetobacter"
"Chryseobacterium","250607_05",1.17877222908729,"Chryseobacterium"
"Pseudomonas","250607_05",1.14567315222044,"Pseudomonas"
"Unclassified_Bacteria","250607_09",-0.729318110308015,"Uncl. Bacteria"
"Methylobacterium-Methylorubrum","250607_09",-0.882485428718674,"Methylobacterium-Methylorubrum"
"Actinomycetospora","250607_09",-1.02655173407549,"Actinomycetospora"
"1174-901-12","250607_09",-0.994602030308851,"1174-901-12"
"Marmoricola","250607_09",-1.2453477113127,"Marmoricola"
"Unclassified_Caulobacteraceae","250607_09",-1.12518057141244,"Uncl. Caulobacteraceae"
"Mycobacterium","250607_09",-1.05388553217349,"Mycobacterium"
"Unclassified_Acetobacteraceae","250607_09",-1.1860966002369,"Uncl. Acetobacteraceae"
"Jatrophihabitans","250607_09",-1.17059666704445,"Jatrophihabitans"
"Methylocella","250607_09",-1.18189617454466,"Methylocella"
"Conexibacter","250607_09",-1.18233935835547,"Conexibacter"
"Actinoplanes","250607_09",-1.18410651759887,"Actinoplanes"
"Pseudonocardia","250607_09",-1.19474016163504,"Pseudonocardia"
"Unclassified_67-14","250607_09",-1.23526251038508,"Uncl. 67-14"
"Corynebacterium","250607_09",-0.108885332363653,"Corynebacterium"
"Caldalkalibacillus","250607_09",0.565681565086016,"Caldalkalibacillus"
"Nesterenkonia","250607_09",0.624439325769901,"Nesterenkonia"
"Unclassified_Bacillaceae","250607_09",0.49635459821087,"Uncl. Bacillaceae"
"Unclassified_Caloramatoraceae","250607_09",0.575309565107684,"Uncl. Caloramatoraceae"
"Anoxybacillus","250607_09",0.665476850127264,"Anoxybacillus"
"Clostridium sensu stricto 12","250607_09",0.614857238285571,"Clostridium sensu stricto 12"
"Halomonas","250607_09",0.657797808044534,"Halomonas"
"Staphylococcus","250607_09",0.8431179481027,"Staphylococcus"
"Mycoplasma","250607_09",1.12642981841451,"Mycoplasma"
"Tumebacillus","250607_09",0.417782312419295,"Tumebacillus"
"Bacillus","250607_09",0.407322775396059,"Bacillus"
"Paracoccus","250607_09",1.19567247328275,"Paracoccus"
"Acinetobacter","250607_09",1.24711956440855,"Acinetobacter"
"Chryseobacterium","250607_09",0.906687022924898,"Chryseobacterium"
"Pseudomonas","250607_09",1.00900212413115,"Pseudomonas"
"Unclassified_Bacteria","220604_03",-0.0175623045893615,"Uncl. Bacteria"
"Methylobacterium-Methylorubrum","220604_03",-1.16934267876013,"Methylobacterium-Methylorubrum"
