"Genus","Sample_ID","Row_scaled_rCLR","Genus_full"
"Staphylococcus","220606_02",0.600447851360578,"Staphylococcus"
"Micrococcus","220606_02",1.13948830804845,"Micrococcus"
"Pseudomonas","220606_02",0.42963824432089,"Pseudomonas"
"Stenotrophomonas","220606_02",0.191538422541087,"Stenotrophomonas"
"Bosea","220606_02",-1.29857322632045,"Bosea"
"Curtobacterium","220606_02",-0.938835595020006,"Curtobacterium"
"Chryseobacterium","220606_02",-1.13060339132676,"Chryseobacterium"
"Novosphingobium","220606_02",0.619488805287964,"Novosphingobium"
"Brevundimonas","220606_02",0.417232138714022,"Brevundimonas"
"Uncl. Bacillaceae","220606_02",0.286761750420326,"Unclassified_Bacillaceae"
"Burkholderia complex","220606_02",-0.8871928986208,"Burkholderia-Caballeronia-Paraburkholderia"
"Rhizobium complex","220606_02",-1.14449190574608,"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"Acinetobacter","220604_02",0.750252505521862,"Acinetobacter"
"Staphylococcus","220604_02",1.17351610004969,"Staphylococcus"
"Micrococcus","220604_02",-0.686609960863867,"Micrococcus"
"Pseudomonas","220604_02",-0.278222130658921,"Pseudomonas"
"Stenotrophomonas","220604_02",-0.673319951717624,"Stenotrophomonas"
"Bosea","220604_02",0.587857613976304,"Bosea"
"Curtobacterium","220604_02",-0.48852219363509,"Curtobacterium"
"Chryseobacterium","220604_02",-0.425109690526113,"Chryseobacterium"
"Novosphingobium","220604_02",-1.22829700419824,"Novosphingobium"
"Brevundimonas","220604_02",-1.52639888902297,"Brevundimonas"
"Uncl. Bacillaceae","220604_02",1.37998461522758,"Unclassified_Bacillaceae"
"Burkholderia complex","220604_02",1.11626583164663,"Burkholderia-Caballeronia-Paraburkholderia"
"Rhizobium complex","220604_02",-0.522111902437394,"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"Acinetobacter","220609_07",-0.214829562404288,"Acinetobacter"
"Staphylococcus","220609_07",0.767247329355576,"Staphylococcus"
"Micrococcus","220609_07",-0.168059689025685,"Micrococcus"
"Pseudomonas","220609_07",-1.2010705070888,"Pseudomonas"
"Stenotrophomonas","220609_07",-1.43862445719985,"Stenotrophomonas"
"Bosea","220609_07",1.0291927355571,"Bosea"
"Curtobacterium","220609_07",-0.774306445034082,"Curtobacterium"
"Chryseobacterium","220609_07",-0.471320660796683,"Chryseobacterium"
"Novosphingobium","220609_07",-1.63721490659864,"Novosphingobium"
"Brevundimonas","220609_07",-1.53064899784609,"Brevundimonas"
"Uncl. Bacillaceae","220609_07",1.17412972738181,"Unclassified_Bacillaceae"
"Burkholderia complex","220609_07",1.55319004196603,"Burkholderia-Caballeronia-Paraburkholderia"
"Rhizobium complex","220609_07",-0.304837567895611,"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"Acinetobacter","220609_02",0.437266912504948,"Acinetobacter"
"Staphylococcus","220609_02",-0.496198037388675,"Staphylococcus"
"Micrococcus","220609_02",-1.19003255598749,"Micrococcus"
"Pseudomonas","220609_02",0.702200782883785,"Pseudomonas"
"Stenotrophomonas","220609_02",0.876791182227588,"Stenotrophomonas"
"Bosea","220609_02",0.371924877649018,"Bosea"
"Curtobacterium","220609_02",1.22313483429134,"Curtobacterium"
"Chryseobacterium","220609_02",1.10829254399245,"Chryseobacterium"
"Novosphingobium","220609_02",0.373704876572007,"Novosphingobium"
"Brevundimonas","220609_02",0.231230432442047,"Brevundimonas"
"Uncl. Bacillaceae","220609_02",-0.525976129892003,"Unclassified_Bacillaceae"
"Burkholderia complex","220609_02",-0.146938410924674,"Burkholderia-Caballeronia-Paraburkholderia"
"Rhizobium complex","220609_02",0.88557102077335,"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"Acinetobacter","220609_03",0.0389032636534422,"Acinetobacter"
"Staphylococcus","220609_03",-0.0639049376065948,"Staphylococcus"
"Micrococcus","220609_03",-0.0164630061650306,"Micrococcus"
"Pseudomonas","220609_03",0.120927788384695,"Pseudomonas"
"Stenotrophomonas","220609_03",0.140652417759576,"Stenotrophomonas"
"Bosea","220609_03",-0.0803944274382793,"Bosea"
"Curtobacterium","220609_03",0.0879671935974826,"Curtobacterium"
"Chryseobacterium","220609_03",0.0585313221782476,"Chryseobacterium"
"Novosphingobium","220609_03",0.141775791588997,"Novosphingobium"
"Brevundimonas","220609_03",0.124930454207829,"Brevundimonas"
"Uncl. Bacillaceae","220609_03",-0.0993699989950606,"Unclassified_Bacillaceae"
"Burkholderia complex","220609_03",-0.13131273857312,"Burkholderia-Caballeronia-Paraburkholderia"
"Rhizobium complex","220609_03",0.0374831386862449,"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"Acinetobacter","220609_04",-0.303634743472187,"Acinetobacter"
"Staphylococcus","220609_04",-0.342453245731215,"Staphylococcus"
"Micrococcus","220609_04",0.484063980012125,"Micrococcus"
