"Genus","Prevalence","Prevalence_samples","Mean_relative_abundance","Retained"
"Unclassified_Rhodocyclaceae",0.148936170212766,7,0.000192034861709325,FALSE
"Streptosporangium",0.0851063829787234,4,8.0356683335657e-05,FALSE
"Unclassified_Solirubrobacteraceae",0.382978723404255,18,0.000478559646361813,TRUE
"Gryllotalpicola",0.0851063829787234,4,0.00016497703323727,FALSE
"Alsobacter",0.106382978723404,5,0.000100839087544821,FALSE
"Galbitalea",0.191489361702128,9,0.000131335187023851,FALSE
"Saccharopolyspora",0.106382978723404,5,8.64145646510515e-05,FALSE
"Smaragdicoccus",0.0425531914893617,2,0.000141428746568536,FALSE
"Acidisoma",0.319148936170213,15,0.00037202792234816,TRUE
"Roseiarcus",0.297872340425532,14,0.000323434094350202,TRUE
"Alicyclobacillus",0.297872340425532,14,0.000220663832806808,TRUE
"Unclassified_Actinomycetaceae",0.0425531914893617,2,9.65296308280851e-05,FALSE
"Unclassified_Rhodobacteraceae",0.404255319148936,19,0.000393182057388304,TRUE
"SN8",0.127659574468085,6,5.69767755446775e-05,FALSE
"Blastococcus",0.127659574468085,6,4.83559558198865e-05,FALSE
"Gordonia",0.382978723404255,18,0.000667613150263872,TRUE
"Unclassified_Xanthomonadaceae",0.127659574468085,6,0.000122245972418783,FALSE
"Phaselicystis",0.553191489361702,26,0.000504795878117941,TRUE
"Tsukamurella",0.148936170212766,7,0.000383018051594815,FALSE
"Sinomonas",0.0638297872340425,3,0.000227495641632957,FALSE
"Unclassified_Rhodanobacteraceae",0.297872340425532,14,0.000182440851902786,TRUE
"Unclassified_Isosphaeraceae",0.659574468085106,31,0.000512453600923897,TRUE
"Candidatus Obscuribacter",0.170212765957447,8,9.64329600384086e-05,FALSE
"Pseudoalteromonas",0.191489361702128,9,0.000166863816693524,FALSE
"Thermomonas",0.297872340425532,14,0.000337101321835025,TRUE
"Unclassified_Acidobacteriaceae (Subgroup 1)",0.361702127659574,17,0.000418919033811714,TRUE
"Hirschia",0.276595744680851,13,0.000147395425042191,TRUE
"Unclassified_Ilumatobacteraceae",0.48936170212766,23,0.000482179677274767,TRUE
"Sorangium",0.127659574468085,6,0.000159058306784006,FALSE
"Chryseolinea",0.276595744680851,13,0.000203324902992414,TRUE
"Xanthomonas",0.191489361702128,9,0.00014770653199891,FALSE
"Arthrobacter",0.0638297872340425,3,5.06752200235825e-05,FALSE
"Singulisphaera",0.170212765957447,8,6.68005000462278e-05,FALSE
"Terrabacter",0.0851063829787234,4,4.02501698339278e-05,FALSE
"Pajaroellobacter",0.723404255319149,34,0.000756135056431997,TRUE
"Moheibacter",0.0425531914893617,2,8.76925857393373e-05,FALSE
"Leuconostoc",0.106382978723404,5,0.000130128255690648,FALSE
"Paraclostridium",0.0638297872340425,3,8.28801258587266e-05,FALSE
"Unclassified_Thermosynechococcaceae",0.106382978723404,5,0.000152713012248083,FALSE
"Antricoccus",0.191489361702128,9,0.000124345750856845,FALSE
"Aerosakkonema Lao26",0.0212765957446809,1,5.86208208879182e-05,FALSE
"Pseudaminobacter",0.212765957446809,10,0.000203903000650562,TRUE
"Parabacteroides",0.106382978723404,5,6.75091659290522e-05,FALSE
"Unclassified_Devosiaceae",0.234042553191489,11,0.000188453705965231,TRUE
"Methylophilus",0.106382978723404,5,6.8570331715299e-05,FALSE
"Veillonella",0.234042553191489,11,0.000211653301883492,TRUE
"Desulfotomaculum",0.212765957446809,10,0.000176455280836308,TRUE
"Anaerovorax",0.106382978723404,5,7.61053343434863e-05,FALSE
"Franconibacter",0.0638297872340425,3,6.20825662233551e-05,FALSE
"[Eubacterium] fissicatena group",0.0212765957446809,1,4.81732234593485e-05,FALSE
"Methanobrevibacter",0.0425531914893617,2,5.47963998097573e-05,FALSE
"Unclassified_Candidatus Spiroplasma",0.170212765957447,8,9.63195726628683e-05,FALSE
"Unclassified_Micrococcaceae",0.212765957446809,10,0.000175304511253565,TRUE
"Chondromyces",0.0212765957446809,1,8.42929795377602e-05,FALSE
"Subgroup 10",0.361702127659574,17,0.000261223706177696,TRUE
"Corallococcus",0.0212765957446809,1,4.84143739232989e-05,FALSE
"Pseudorhodoplanes",0.319148936170213,15,0.000235217406260077,TRUE
"Frondihabitans",0.148936170212766,7,0.000192549025971637,FALSE
"Pseudokineococcus",0.0638297872340425,3,5.47418027147373e-05,FALSE
"Flavimarina",0.0638297872340425,3,4.42284298025773e-05,FALSE
"Hymenobacter",0.638297872340426,30,0.000822337893276598,TRUE
"Catellatospora",0.0851063829787234,4,9.10842410579398e-05,FALSE
"Methylibium",0.170212765957447,8,0.00020630069794492,FALSE
"JCM 18997",0.319148936170213,15,0.00019938896960122,TRUE
