"Genus","Mean_relative_abundance_percent","Prevalence","Prevalence_samples","Inhibitory_ASVs","Max_identity","Max_query_coverage","Whole_ANCOMBC2_global_q","Whole_ANCOMBC2_robust_global","Whole_ALDEx2_global_q","Anti_only_ANCOMBC2_global_q","Anti_only_ANCOMBC2_robust_global","Anti_only_ALDEx2_global_q","Woodhams_function","Passes_20pct_anti_prevalence","Site_association_supported","Priority_rank"
"Unclassified_Caulobacteraceae",0.0029031038598028,0.0212765957446809,1,1,97.233,100,2.9973029037104e-06,TRUE,0.0110421838468396,NA,NA,NA,"inhibitory",FALSE,FALSE,77
"Pseudoxanthomonas",0.00273712484101227,0.0851063829787234,4,3,99.209,100,0.001460157811223,FALSE,0.3545064805875,NA,NA,NA,"inhibitory",FALSE,FALSE,78
"Citricoccus",0.00237740589494949,0.0425531914893617,2,2,98.419,100,NA,NA,NA,NA,NA,NA,"inhibitory",FALSE,FALSE,79
"Ottowia",0.0022861086783407,0.0212765957446809,1,1,98.814,100,NA,NA,NA,NA,NA,NA,"inhibitory",FALSE,FALSE,80
"Chitinimonas",0.00224216193605225,0.0638297872340425,3,2,99.606,100,NA,NA,NA,NA,NA,NA,"inhibitory",FALSE,FALSE,81
"Dermabacter",0.00217603449516837,0.0212765957446809,1,1,97.233,100,NA,NA,NA,NA,NA,NA,"inhibitory",FALSE,FALSE,82
"Silvimonas",0.00216174153530922,0.0425531914893617,2,2,100,100,NA,NA,NA,NA,NA,NA,"inhibitory",FALSE,FALSE,83
"Pandoraea",0.00195454291617803,0.0212765957446809,1,1,99.209,100,NA,NA,NA,NA,NA,NA,"inhibitory",FALSE,FALSE,84
"Unclassified_Pseudomonadaceae",0.00187150352754421,0.0212765957446809,1,1,97.233,100,NA,NA,NA,NA,NA,NA,"inhibitory",FALSE,FALSE,85
"Salinicoccus",0.00180803676112509,0.0638297872340425,3,1,98.024,100,NA,NA,NA,NA,NA,NA,"inhibitory",FALSE,FALSE,86
"Raoultella",0.00179383303349318,0.0212765957446809,1,1,99.605,100,NA,NA,NA,NA,NA,NA,"inhibitory",FALSE,FALSE,87
"Microbacterium",0.00173348610306474,0.0425531914893617,2,2,99.605,100,NA,NA,NA,NA,NA,NA,"inhibitory",FALSE,FALSE,88
"Rubrivivax",0.00167984757593574,0.0212765957446809,1,1,97.628,100,NA,NA,NA,NA,NA,NA,"inhibitory",FALSE,FALSE,89
"Unclassified_Planococcaceae",0.00161035036014822,0.0425531914893617,2,2,99.605,100,8.53061502801257e-05,TRUE,0.00179584532900948,NA,NA,NA,"inhibitory",FALSE,FALSE,90
"Massilia",0.00158631179109331,0.0212765957446809,1,2,98.419,100,NA,NA,NA,NA,NA,NA,"inhibitory",FALSE,FALSE,91
"Planomicrobium",0.00154380994927619,0.0212765957446809,1,1,97.628,100,NA,NA,NA,NA,NA,NA,"inhibitory",FALSE,FALSE,92
"Inhella",0.00135927872787046,0.0212765957446809,1,1,97.628,100,NA,NA,NA,NA,NA,NA,"inhibitory",FALSE,FALSE,93
"Elizabethkingia",0.0013260671596909,0.0638297872340425,3,3,100,100,NA,NA,NA,NA,NA,NA,"inhibitory",FALSE,FALSE,94
"Paenochrobactrum",0.00119338684678852,0.0212765957446809,1,1,98.024,100,NA,NA,NA,NA,NA,NA,"inhibitory",FALSE,FALSE,95
"Ralstonia",0.0010117259032183,0.0212765957446809,1,1,98.031,100,NA,NA,NA,NA,NA,NA,"inhibitory",FALSE,FALSE,96
