"Genus","Community","KSM","Prevalence","Detected_samples","Mean_relative_abundance_percent","Is_anti_Bd","Bootstrap_median","Bootstrap_CI_low","Bootstrap_CI_high","Top10_frequency","Top20_frequency","Bootstrap_iterations","KSM_rank","ANCOMBC2_robust_FDR05","ANCOMBC2_q","ALDEx2_q","ALDEx2_FDR05","Method_agreement","Cross_method_support"
"Altererythrobacter","Whole community",0.352561071710008,0.446808510638298,21,0.0404443136693711,FALSE,0.415760441292356,0.278171788810087,0.550902285263987,0,0,1000,175,FALSE,NA,0.785927715701697,FALSE,"Neither","KSM only"
"Abditibacterium","Whole community",0.351142631993696,0.659574468085106,31,0.0560793384662663,FALSE,0.443735224586288,0.317953112687155,0.586300236406619,0,0.001,1000,176,FALSE,0.366407023316496,0.645378606445422,FALSE,"Neither","KSM only"
"Unclassified_Methyloligellaceae","Whole community",0.349724192277384,0.382978723404255,18,0.015589713801494,FALSE,0.414972419227738,0.260126083530339,0.577082348305753,0,0,1000,177,FALSE,NA,0.436692102337275,FALSE,"Neither","KSM only"
"Hymenobacter","Whole community",0.348699763593381,0.638297872340426,30,0.0822337893276598,FALSE,0.438376674546887,0.322295114263199,0.567253743104807,0,0,1000,178,FALSE,0.00475261987340103,0.744398026639847,FALSE,"Neither","KSM only"
"Unclassified_Sphingomonadaceae","Whole community",0.348069345941686,0.872340425531915,41,0.507106249519749,FALSE,0.463081166272656,0.350973207249803,0.605539795114263,0,0,1000,179,FALSE,0.000211965851235643,0.256631933765364,FALSE,"Neither","KSM only"
"Spirosoma","Whole community",0.347202521670607,0.851063829787234,40,0.349430823478442,FALSE,0.466469661150512,0.343181639085894,0.602064617809299,0,0,1000,180,FALSE,0.366891570320526,0.774940144359589,FALSE,"Neither","KSM only"
"Phenylobacterium","Whole community",0.347123719464145,0.446808510638298,21,0.0457342078068222,FALSE,0.396611505122143,0.262090228526399,0.551459810874704,0,0,1000,181,TRUE,0.0137011091559949,0.197882501905073,FALSE,"ANCOM-BC2 only","ANCOM-BC2 only"
"Unclassified_Neisseriaceae","Whole community",0.347044917257683,0.361702127659574,17,0.0432058257202818,FALSE,0.396059889676911,0.240309298660363,0.552265563435776,0,0.001,1000,182,TRUE,0.00147597682373584,0.0693202479937343,FALSE,"ANCOM-BC2 only","ANCOM-BC2 only"
"Ferruginibacter","Whole community",0.346335697399527,0.531914893617021,25,0.0440217255322899,FALSE,0.418794326241135,0.271753349093775,0.581012608353034,0,0,1000,183,FALSE,0.932745184952951,0.540672301817161,FALSE,"Neither","KSM only"
"Gemella","Whole community",0.345311268715524,0.212765957446809,10,0.108617505798253,FALSE,0.359180457052797,0.216873522458629,0.518055555555556,0,0,1000,184,FALSE,NA,0.374110198716834,FALSE,"Neither","KSM only"
"Gordonia","Whole community",0.34468085106383,0.382978723404255,18,0.0667613150263872,FALSE,0.403152088258471,0.260248226950355,0.543280141843972,0,0,1000,185,FALSE,NA,0.433101557381122,FALSE,"Neither","KSM only"
"Hirschia","Whole community",0.344523246650906,0.276595744680851,13,0.0147395425042191,FALSE,0.385894405043341,0.243735224586288,0.525240346729708,0,0,1000,186,FALSE,NA,0.317681501563445,FALSE,"Neither","KSM only"
"Unclassified_Microtrichaceae","Whole community",0.344365642237983,0.25531914893617,12,0.00699346594651744,FALSE,0.380614657210402,0.243195429472025,0.528920409771474,0,0,1000,187,FALSE,NA,0.269697243342262,FALSE,"Neither","KSM only"
